SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,Activity,Bullet,"Select appropriate tools for a Functional Movement Assessment (FMA) and conduct a peer assessment demonstrating accuracy, reliability and validity",,,,19
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KS,Activity,Bullet,Select an assessment tool and discuss how you conduct a suitable pre-participation screen and gain informed consent for this tool,,,,20
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,Activity,Bullet,Design and participate in a personal physical plan that uses self-management skills to optimise adherence to the NPAG,,,,21
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,DetailedExample,Paragraph,"TO STRETCH OR NOT TO STRETCH, THAT IS THE QUESTION",,,,22
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,DetailedExampleStep,Paragraph,Task,,,,23
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,DetailedExampleStep,Paragraph,Students research the perceived and actual benefits of including a stretching routine in a warm up to prevent musculoskeletal injuries.,,,,24
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,DetailedExampleStep,Paragraph,Practical activity,,,,25
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,DetailedExampleStep,Paragraph,"Students perform, in order:",,,,26
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,DetailedExampleStep,Bullet,A traditional warm up (jogging around the oval/gym followed by stretching the major muscles of the body),,,,27
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,DetailedExampleStep,Bullet,A 20-minute continuous run,,,,28
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,DetailedExampleStep,Bullet,"A 20-minute resistance circuit (sit-ups, lunges, push-ups, triceps dips, squats, plank, suicide sprints and Turkish get ups)",,,,29
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,DetailedExampleStep,Bullet,"A cool down (5-minute walk, followed by a stretch of the major muscles of the body).",,,,30
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,DetailedExampleStep,Paragraph,Reflection,,,,31
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,DetailedExampleStep,Paragraph,Students record how they feel in terms of muscle soreness over the following one and two days after the exercise. Discuss as a class what factors may contribute to different people feeling different degrees of muscular soreness.,,,,32
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,DetailedExampleStep,Paragraph,Research task,,,,33
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,DetailedExampleStep,Paragraph,Students investigate the causes of muscular soreness post exercise and the perceived benefits of including stretching as part of a warm up prior to undertaking physical activity.,,,,34
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,DetailedExampleStep,Paragraph,"Using a cause-and-effect graphic organiser such as a fishbone graphic or flow chart, students summarise the causes of muscular soreness post exercise and the impact of a warm up and stretching on muscular soreness.",,,,35
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,DetailedExampleStep,Paragraph,Conclusion,,,,36
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,DetailedExampleStep,Paragraph,"Students use the information collected through the practical activity and reflection, in conjunction with the information obtained through the research task to determine if a stretch should or should not be part of a pre-exercise or pre-game warm up.",,,,37
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,DetailedExampleStep,Paragraph,Area of Study 2: What are the contemporary issues associated with physical activity and sport,,,,38
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,,,OutcomeHeading,Outcome 2:,,,,1
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,,,OutcomeDescription,"On completion of this unit, the student should be able to explain a range of intrapersonal and interpersonal contemporary issues that influence access to, and inclusion, participation and performance in, physical activity and sport at the local, national and global levels.",,,,2
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,Activity,Bullet,Brainstorm contemporary issues associated with physical activity and sport,,,,3
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,Activity,Bullet,Conduct an audit of national newspapers for one week to categorise the articles related to physical activity and sport; identify major themes that emerge from the audit,,,,4
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,Activity,Bullet,Use a survey or direct observation to collect primary data on the number of students who use active transport to travel to and from school,,,,5
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KS,Activity,Bullet,"Use a Venn diagram to compare the local, national and/or global perspectives of a selected issue",,,,6
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,Activity,Bullet,Participate in a range of physical activities associated with a contemporary issue in physical activity and sport such as:,,,,7
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,Activity,Bullet,"Physical and intellectual diversity: Goal ball, blind cricket or walking netball",participate in a range of physical activities associated with a contemporary issue in physical activity and sport such as:,,,8
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,Activity,Bullet,"Children and competitive sport: modified sports for children, e.g.Hot Shots, MILO cricket, Auskick, Miniroos",participate in a range of physical activities associated with a contemporary issue in physical activity and sport such as:,,,9
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,Activity,Bullet,Cultural diversity: Tai-Chi at Federation Square,participate in a range of physical activities associated with a contemporary issue in physical activity and sport such as:,,,10
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,Activity,Bullet,"Aboriginals and Torres Strait Islanders: Traditional games such as pirrha, kabi kabi buroinjin, keenta",participate in a range of physical activities associated with a contemporary issue in physical activity and sport such as:,,,11
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,Activity,Bullet,"Geographic location: exercise stations, local pools, community facilities, bike and walking paths",participate in a range of physical activities associated with a contemporary issue in physical activity and sport such as:,,,12
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,Activity,Bullet,Mental fitness: participate in a HIIT session and record the mental impact of the session in the reflective folio,participate in a range of physical activities associated with a contemporary issue in physical activity and sport such as:,,,13
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,Activity,Bullet,Use Sport Integrity Australia to explore how sporting bodies are addressing safeguarding in sport,,,,14
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,Activity,Bullet,Create a resistance training session that works to build muscular strength for an older adult,,,,15
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,Activity,Bullet,Gather data on concussion rates in AFL/AFLW and discuss concussion policies,,,,16
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,Activity,Bullet,Keep a sleep diary during the delivery of Unit 2 and reflect on the benefits of sleep and strategies to promote sleep,,,,17
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,Activity,Bullet,Use cards with characteristics of different coaching styles to choose a style and deliver a practical activity in that style. Discuss advantages and limitations of each coaching style,,,,18
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,Activity,Bullet,Use a shared online platform to brainstorm movement experiences that highlight the participatory elements of selected issues,,,,19
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,Activity,Bullet,Create a timeline to map out the key developments of a selected issue and predict possible implications for the future,,,,20
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KS,Activity,Bullet,"Discuss the campaigns: 'This girl can"" 'Change our game' and 'Love our game' campaigns to determine and analyse the issues depicted.",,,,21
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,Activity,Bullet,Design a web page or poster or make a video clip to present the findings and conclusion from the investigation of a contemporary issue in physical activity and sport,,,,22
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExample,Paragraph,THE INFLUENCE OF GENDER ON PHYSICAL ACTIVITY OPPORTUNITIES AND PARTICIPATION,,,,23
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Paragraph,Task,,,,24
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Paragraph,"Students critique the #Thisgirlcan, 'Love our game and 'Change our game' campaigns to determine and analyse the issues depicted.",,,,25
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Paragraph,Instructions:,,,,26
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Paragraph,"1. Students select a permitted or prohibited substance or method that enhances the cardiorespiratory system (for example, altitude training, EPO, beta blockers, gene doping or blood doping).",,,,27
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Paragraph,This girl can:,,,,28
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Paragraph,This girl can - case study:,,,,29
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Paragraph,Love our game:,,,,30
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Paragraph,Change our game:,,,,31
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Paragraph,On the first viewing students watch and listen.,,,,32
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Paragraph,2. On the second viewing students complete a 'Y' chart with the following question stems:,,,,33
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Bullet,I think...,,,,34
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Bullet,I feel...,,,,35
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Bullet,I wonder...,,,,36
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Paragraph,3. Students watch the videos again and this time consider the following:,,,,37
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Bullet,What are the campaigns trying to do? What is their purpose?,,,,38
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KS,DetailedExampleStep,Bullet,Do they succeed? Justify your answer.,,,,39
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Bullet,Are the issues portrayed similar for other groups in society?,,,,40
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Paragraph,"Students research previous outcomes of athletes who have consumed the substance or method and discuss the social, cultural and ethical issues with using this particular substance or method.",,,,41
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Paragraph,"4. There are a number of contemporary issues portrayed in the videos relating to physical activity and sport. For this section of the task, students discuss as a class those issues that were apparent to them. The issues students might identify include, but are not limited to, gender stereotypes in sport and physical activity, cultural norms, declining physical activity levels, media coverage of female sport, access to physical activity opportunities for women, girls and people with diversity in ability. From this discussion, students will need to select one of the issues for analysis.",,,,42
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KS,DetailedExampleStep,Paragraph,Students analyse the issue identified by:,,,,43
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Bullet,Identifying the barriers and enablers for participation in physical activity and sport in this context,,,,44
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Bullet,Outlining the factors that influence participation in physical activity and sport in this context,,,,45
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Bullet,Evaluating the effectiveness of the campaigns in addressing the issue selected,,,,46
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Bullet,Sourcing and describing another strategy or initiative designed to increase participation in physical activity and sport in this context.,,,,47
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Paragraph,6. Students summarise their findings and draw informed conclusions about the overall effectiveness of the campaigns in addressing the issues associated with physical activity and sport.,,,,48
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Paragraph,Further resources,,,,49
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Paragraph,This girl can:,,,,50
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Paragraph,Love our game:,,,,51
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS2,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,Outcome 2,VCEPEU2AS2O2KK,DetailedExampleStep,Paragraph,Change our game:,,,,52
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3,,,,,UnitHeading,"Unit 3 Movement skills and energy for physical activity, sport and exercise",,,,1
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3,,,,GeneralActivity,Paragraph,Area of Study 1: How are movement skills improved?,,,,2
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,,,OutcomeHeading,Outcome 1:,,,,1
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,,,OutcomeDescription,"On completion of this unit, the student should be able to analyse primary data collected from participation in physical activity, sport and exercise to develop and refine movement skills from an individual and coaching perspective, by applying biomechanical and skill-acquisition principles.",,,,2
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Participate in a range of fundamental movement skills (FMS): running, jumping, leaping, dodging, catching, throwing, kicking, bouncing and striking; select a sport and, using a visual/graphic organiser, demonstrate how FMS form the basis for the sport specific skills required in the sport selected",,,,3
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Participate in a game of soccer or netball; from the game, identify the movement skills required to play; classify each of the skills as discrete, serial or continuous; include annotations about each skill",,,,4
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Debate the following statement: 'A tennis serve is a closed skill and, as such, professional players should be able to consistently serve at a very high percentage of first serves in'",,,,5
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Research and report on the current understanding of the effect of physical training on growth, development and maturation",,,,6
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KS,Activity,Bullet,"Appraise and evaluate both sides of the 'sport specialisation' argument; from the findings, deduce the impact of early exposure to multiple vs single sports on motor skill development",,,,7
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KS,Activity,Bullet,"Analyse a child targeted sports program (e.g. NetSetGo, Hot Shots, Aussie Hoops, Milo Cricket, Auskick) and report on the modifications put in place in comparison to adults undertaking these sports, how these modifications impact motor skill development, participation and performance",,,,8
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Research sporting families within Australia and internationally and investigate 'familial advantage', whereby parents and siblings influence skill development; identify the factors that may contribute to sporting expertise within families Family support.",,,,9
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KS,Activity,Bullet,Analyse secondary data on participation rates of both males and females in a range of different activities suggest reasons for the difference in participation rates in physical activity for both males and females across the lifespan.,,,,10
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,Conduct an audit of the sports offered at your school for males and females; discuss the influences on skill development from a sociocultural perspective; consider family and peers and cultural norms and traditions,,,,11
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Participate in a modified (small-sided) version of Australian rules football, soccer or hockey; identify the task constraints that have been modified and provide a justification for the use of constraints-based coaching for junior athletes",,,,12
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Participate in 'line drills' of kicking a football and then change to a small sided 3 on 3 game with changing dimensions, opponents; discuss strengths and limitations of direct versus constraints-based approaches and develop coaching strategies that would adapt these approaches to suit different learners",,,,13
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Observe a junior PE class and note the differences between teacher-led and student-led activities, stages of learning the students are at, environment variability and the lesson's cognitive load on the learner",,,,14
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Plan, conduct and report on a practical laboratory task investigating the psychological skills that affect performance; include the application of at least one psychological strategy designed to enhance the performance of the individual",,,,15
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Role-play a scenario whereby the coach is trying to motivate players in a team sport to reach an optimal arousal level; discuss the strategies used and the different approaches a coach may take, based on the age, experience and skill level of the players",,,,16
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Consider a range of different discrete, serial and continuous skills in terms of whether they would be best learnt through part or whole practice",,,,17
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"As a class, participate in and reflect on the strengths and limitations of different forms of practice for a single movement skill",,,,18
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Investigate the benefit of feedback through the development of a laboratory task that aims to investigate the hypothesis: 'If the number of successful shots on goal (basketball, netball, football, soccer, hockey, lacrosse etc.) is affected by the amount of feedback, then the number of successful shots will increase when feedback is increased'",,,,19
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,Throw and catch water balloons or eggs at varied distances with and investigate effective catching technique how this impacts impulse,,,,20
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Investigate the relationship between force, mass and acceleration by kicking various balls (soccer ball, football, gator ball on a flat surface, dry grass and wet grass",,,,21
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Participate in and digitally record various athletics events (shot put, discus, high jump, long jump); use the video footage to perform a qualitative analysis of technique including; concepts of summation of momentum, the use of a third-class lever and application of concepts related to projectile motion (release height, angle and speed) for each of the projectiles",,,,22
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Practice the different sprint starts standing, crouch (4 point and 3 point variation) and block; record a time for each start for the same distance; contrast the three starts by identifying the differences in the height of the centre of gravity, the position of the line of gravity, the impulse generated and the acceleration of the individual.",,,,23
