SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,StrategyType,ExamQuestion,ResponseSource,Content,Example,Sequence
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,StudentResponse,Question 4b,,,"The following is an example of a high-scoring response:
Muscular power is the ability of the muscle to produce maximal force in the shortest time possible. It is a combination of speed and strength, therefore, as muscular strength increases peak force production, it will also increase muscular power.",47
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,ExaminerCommentary,Question 4c,,Students were required to explain how a type of muscle fibre influences speed production.,,48
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,EnhancedStrategies,Question 4c,,Responses that scored highly were able to use a characteristic of their chosen muscle fibre type to explain how it influences the ability of the body or body parts to move from point A to point B in the fastest time possible.,,49
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,ExaminerCommentary,Question 4c,,Students were able to use either fast- or slow-twitch muscle fibres in their responses.,,50
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,StudentResponse,Question 4c,,,"The following is an example of a high-scoring response:
Fast twitch muscle fibres increase speed as they contract faster, allowing the body to move from one place to another in the shortest time possible.",51
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,ExaminerCommentary,Question 4d,,Students were required to name a psychological factor and explain how it might have benefited Aryna during the competition.,,52
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,EnhancedStrategies,Question 4d,,Responses that scored highly were able to explain how Aryna would use the diary to alter or mimic the strategies in place to optimise the targeted factor.,,53
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,ExaminerCommentary,Question 4d,,"Some students were able to identify a psychological factor but referred to how this might prevent overtraining, rather than the correct context, which was during the competition.
Acceptable psychological factors included:
motivation
stress/anxiety
arousal
concentration
confidence
sleep.",,54
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,StudentResponse,Question 4d,,,"The following is an example of a high-scoring response:
Aryna could have monitored her arousal levels so she would be aware if her arousal levels needed to be promoted or reduced and could implement strategies to achieve optimal arousal to enhance her performance during competition.",55
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,ExaminerCommentary,Question 4e,,"The answer was ‘variety’.
Many students wrote variability instead of variety. Variability is a classification of practice, while variety is a training principle.
Question 4fi.
Students were required to critique the effectiveness of a training program to improve speed.",,56
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,EnhancedStrategies,Question 4e,,"Responses that scored highly were able to correctly critique the program by:
identifying a strength of the program
identifying a weakness of the program
making a recommendation to improve the weakness that had been identified
using this information to determine that the program was not effective.",,57
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,StudentResponse,Question 4e,,,"The following is an example of a high-scoring response:
This program would not be effective in improving Aryna’s speed. While the work period of 3 and 5 seconds is an appropriate prescription for short interval training to target speed, the intensity of 7 RPE is too low as she would be running rather than sprinting. To make the program effective for improving speed, the intensity should be increased to an RPE of 9–10.
Question 4fii.
Students were required to discuss the suitability of reducing rest periods as a form of progression.",58
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,EnhancedStrategies,Question 4e,,"Responses that scored highly were able to identify that reducing rest periods is not suitable as it may alter the targeted energy system, therefore reducing specificity of the program.",,59
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,StudentResponse,Question 4e,,,"The following is an example of a high-scoring response:
Decreasing rest would not be suitable as it alters the work to rest ratio and thus the targeted energy system. This could result in a loss of specificity of the program.
Many responses suggested that reducing rest time would be appropriate to make the training program more difficult and elicit adaptations. If the response outlined that it could be appropriate as long as the targeted energy system didn’t change and it remained specific, marks may be awarded.
Question 5ai.
The correct response was ‘preparation’.
Question 5aii.",60
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,EnhancedStrategies,Question 4e,,"To be awarded full marks, students needed to describe how a coach could use observation, evaluation and error correction to improve the performance of a ramp shot.
Responses that scored highly described each stage within the context of the ramp shot.",,61
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,StudentResponse,Question 4e,,,"The following is an example of a high-scoring response:
During observation the coach should watch or record the athlete completing the ramp shot. They should use the evaluation stage to determine strengths and weaknesses and errors in the shot. In the error correction stage, the coach can provide feedback and implement drills which target the errors observed, improving ramp shot performance.",62
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB5,VCEPEERB,EnhancedStrategies,Question 5b,,"To be awarded full marks, students needed to select a biomechanical principle and explain how that principle would allow the ramp shot to be more successful against a fast bowler. Many students were not awarded any marks due to selecting an inappropriate biomechanical principle.
Responses that scored highly identified and explained an appropriate biomechanical principle and described what a successful performance looked like when the principle was applied.",,63
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB5,VCEPEERB,ExaminerCommentary,Question 5b,,"Acceptable biomechanical principles were:
Newton’s first law of motion
Newton’s third law of motion
conservation of momentum
impulse
speed of release.",,64
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB5,VCEPEERB,StudentResponse,Question 5b,,,"The following is an example of a high-scoring response:
The ramp shot could be more successfully played against a fast bowler due to the principle of conservation of momentum. This principle states that the total momentum prior to impact will be the same following impact. When the ball is bowled from a fast bowler it has greater momentum (velocity x mass) so the greater the momentum prior to impact, the greater momentum after impact. The ball is likely to travel further over the fielder’s heads making it harder to stop.",65
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB6,VCEPEERB,ExaminerCommentary,Question 6a,,"The correct response for blood volume was ‘decrease’.
The correct response for body temperature was ‘increase’.",,66
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB6,VCEPEERB,EnhancedStrategies,Question 6b,,"To be awarded full marks, students needed to analyse the data and use it to explain the most likely reason for the difference in race time with respect to fatigue mechanisms.
Responses that scored highly used the data to identify that thermoregulatory fatigue was the fatigue mechanism impacting the race times, and explained how the physiological process of thermoregulatory fatigue impacts performance.",,67
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB6,VCEPEERB,ExaminerCommentary,Question 6b,,Some responses confused thermoregulation with thermoregulatory fatigue. Students are encouraged to explore the differences in thermoregulation under a variety of environmental conditions.,,68
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB6,VCEPEERB,StudentResponse,Question 6b,,,"The following is an example of a high-scoring response:
The winner of the Eugene marathon was faster than the winner of the Doha marathon due to temperature being lower, 16 degrees compared to 32 degrees. The athlete in Doha would likely have suffered thermoregulatory fatigue. This resulted in an increase in blood flow to the skin, away from working muscles to cool down. As there is less oxygenated blood to the working muscles to produce ATP aerobically the athlete slows down.",69
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB7,VCEPEERB,EnhancedStrategies,Question 7a,,"To be awarded full marks, students needed to use their understanding of impulse to compare how bowler A and bowler B vary the distance of their bowls.
Responses that scored highly used the variables of impulse (force and time) within the context of the two bowlers to explain the different performance outcomes.",,70
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB7,VCEPEERB,StudentResponse,Question 7a,,,"The following is an example of a high-scoring response:
Impulse = force x time and refers to the change in momentum of an object. Bowler B uses a longer arm swing increasing their impulse by increasing time over which force is applied. This increases the distance the bowl travels. Bowler A however, decreases their impulse by decreasing the time over which force is applied when using a shorter arm swing, meaning the ball travels a shorter distance.",71
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB7,VCEPEERB,LimitedStrategies,Question 7a,,"Common issues included:
discussing impulse being manipulated rather than increased or decreased
saying that bowler B increased the force applied to the bowl
not linking to the performance outcome of increasing or decreasing the distance the bowl travels.",,72
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB7,VCEPEERB,ExaminerCommentary,Question 7b,,"Students were required to use Newton’s second law of motion to explain why, when bowler B changes to a lighter set of bowls and uses the same arm swing, their bowl travels too far.",,73
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB7,VCEPEERB,EnhancedStrategies,Question 7b,,"Responses that scored highly applied the equation f = ma to the context of the question and explained that, when the same force is applied to objects with a different mass, the acceleration will be different.",,74
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB7,VCEPEERB,StudentResponse,Question 7b,,,"The following is an example of a high-scoring response:
Newton’s 2nd law states that a force applied to an object will cause a change in motion (acceleration) in the direction of the applied force, directly proportional to the force and inversely proportional to its mass (f=ma). A decrease in mass of the bowls while applying the same force will result in an increased acceleration of the bowl and it travels too far.",75
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB8,VCEPEERB,ExaminerCommentary,Question 8,,"Students were required to discuss the interrelationship between psychological strategies, energy system requirements, acute responses to exercise and oxygen consumption, and training methods and principles to produce a successful performance in the laser run.",,76
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB8,VCEPEERB,EnhancedStrategies,Question 8,,"Responses that scored highly demonstrated clear interrelationships between the four knowledge points and consistently linked their discussion back to the stimulus. Students linked knowledge points such as the energy system requirements with the appropriate training methods and described effective application of training principles. High-scoring responses also used the data to discuss appropriate psychological strategies, and linked oxygen consumption and acute responses to each phase of the laser run.",,77
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB8,VCEPEERB,ExaminerCommentary,Question 8,,Some responses presented the knowledge points in isolation or focused on describing a variety of more general psychological strategies.,,78
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB8,VCEPEERB,StudentResponse,Question 8,,,"The following is an example of an ideal response:
The modern pentathlon alternates between elevated heart rates during 1.52–2.26 minute runs and brief decreases during the laser-shooting phases. Both components benefit from arousal regulation strategies and aerobic training, as the aerobic system (large yield) is the major energy provider across the 11.26 minute event.
At the start of each run, the athlete rapidly accelerates by increasing motor unit recruitment. Positive self-talk or cue words can optimise arousal for this explosive effort. Early in the run, oxygen demand exceeds supply despite acute responses such as increased tidal volume and heart rate working to increase oxygen consumption. This is reflected in heart-rate data rising from 110 bpm to ~160 bpm in run 1, indicating a period of oxygen deficit and greater reliance on the anaerobic systems (ATP–CP and anaerobic glycolysis).
Although heart rate continues to rise and the athlete does not reach steady state, the aerobic system remains the major contributor. Improving aerobic power through sport-specific training such as long-interval training would increase the rate of aerobic ATP production and mimic the duration and intensity of the run segments. To gain these adaptations, the athlete must train within the aerobic zone (70–85% HR max.) and apply principles such as adequate frequency (e.g. three sessions per week).
Before shooting, the athlete needs to rapidly reduce arousal to enhance precision. As energy demand drops and heart rate decreases, strategies like slow, controlled breathing help lower arousal and extend the time between beats, improving accuracy. During this short low-intensity window (e.g. 8.20 seconds), the aerobic system begins to restore CP, but insufficient recovery time means CP is not fully replenished, increasing reliance on anaerobic glycolysis at the start of the next run.",79
