SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,SectionName,QuestionNumber,QuestionLabel,Marks,ContentType,Content,StimulusSource,TextName,TextAuthor,TextQuote,ExamQuestion,ImageRef,Sequence
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERC,VCEENG25EQC1,C,Analysis of argument and language,1,Background,,Background,"Every year the regional town of Timberoona hosts a fireworks display to usher in the new year.
This annual tradition has been an important event on the community calendar for more than
50 years. Over the past few years, however, some residents have been concerned about the
impact of the event on the town and have been seeking alternative ways to celebrate New
Year's Eve.
Local resident Jack Adut submitted the following article with accompanying images to the
community newsletter Timberoona: Talk of the town.
Lighting the way: a new year, a new celebration
by Jack Adut, 2025
Like most people in our community, I consider New Year's Eve to be a highlight on my social
calendar. I look forward to participating in the many festivities held in the beautiful setting of
Timberoona Park. The family picnics, roaming entertainment, food vans and showcasing of local
musical talent in the rotunda create the perfect backdrop for the main event: the annual fireworks
display. The spectacular pyrotechnics can be viewed from vantage points across the park and
beyond, with veterans of the event knowing exactly where to set up their picnic rugs and folding
chairs to secure the best view. It is with great anticipation that I await the collective countdown to
midnight and the first big bang that reverberates through the air!
As you can see, I'm all for the opportunity to welcome the new year with a big celebration, but
it's time to re-think the use of fireworks. It wasn't until I saw firsthand the impact that our annual
celebration has on the environment, some members of the community and their pets (not to
mention the huge expense!) that I came up with a solution - a dynamic projected lightshow!
Every year the fireworks display has an environmental effect on our local area. Exploding nine
tonnes of fireworks generates waste and debris that is blown into the air and lands in waterways
and nature reserves, posing a threat to our native flora and fauna. The smoke created by fireworks
also pollutes the air and the explosions contribute to noise pollution. Imagine how much the carbon
footprint of Timberoona could be reduced if we just replace fireworks with beams of light that are
non-toxic, silent and, most importantly, a cleaner option. Add to this the fact that fireworks pose a
serious safety and fire risk, especially in December at the height of summer. A single mistake, a
single wayward spark, can have devastating consequences. The change to a projected lightshow
is a no-brainer.
I know how upsetting the loud explosions and high-pitched noises of traditional fireworks can be
for little Fido or Fluffy. I understand the yearly dilemma: do I stay home with my beloved pet? Or do
I go out and enjoy myself with my family and friends and hope my pet will be okay? Lights silently
illuminating the buildings and landscapes in the park are the perfect solution. No more panicked
pets cowering under the couch or climbing the curtains. No more scared and lost pets roaming the
streets in dangerous traffic. No more frantic owners desperately searching the Timberoona Animal
Shelter in the early hours of New Year's Day. How great would that be?
PLEASE
NO FIREWORKS
I AM SCARED
A projected lightshow could also offer the chance for some residents to attend the New Year's Eve
celebrations for the first time ever. I know of many locals who experience sensitivity to loud sounds
and are unable to attend the spectacle. Over the years I have seen some children covering their
ears and crying in distress because of the intensity and volume of the noise. It would be wonderful
to think that these children could come along to enjoy the event without the fear of being so
panicked and upset.
A projected lightshow is a cheaper and smarter investment. The cost of New Year's celebrations
will drop from $1.6 million annually to $750 000. The money saved could fund more of the
programs that are vital to the community, such as our meals for the homeless and our breakfast
club programs. Money that would be much better spent on programs we need, rather than a single
environmentally and financially disastrous event that lasts for 10 minutes.
I've heard criticisms of the proposal to change to a light extravaganza because of the traditional
appeal of fireworks. There is much nostalgia about maintaining the old-fashioned tradition of
singing 'Auld Lang Syne'1 under a sky illuminated by colour and light with the thunderous sounds of
the fireworks as backing music. Not to mention the tradition of having a romantic kiss with a loved
one while feeling as if no-one else in the world is watching! Are these New Year's Eve traditions
really dependent on fireworks? Or, would this all be more spectacular without the deafening din
and suffocating smoke? A lightshow offers the same ambience with so many advantages. We could
have actual music that is choreographed to the movement of the lights!
Many of you attended the lightshow held in Timberoona Park earlier this year, pictured below,
to celebrate Community Week, and I think you'll agree it was incredible!
Due to copyright restrictions, this material is not supplied.
Crowds came from far and wide to listen to local musicians and DJs, and interact with the
mind-bending illusions that were created with lights and projections. This event was a stunning
success, proving that we can create magic in the night sky without a single explosion.
Ultimately, this decision is about balance. It's about finding a way to celebrate that keeps the
wonder of New Year's Eve alive while also being mindful of the needs of our community members,
our environment and our future.
Together, we have an opportunity to lead the way with a celebration that is spectacular, safe and
sustainable.
1'Auld Lang Syne' - a song traditionally played or sung at midnight on New Year's Eve",,,,,,,119
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERC,VCEENG25EQC1,C,Analysis of argument and language,1,Slide,,Slide,[Slide image],,,,,,VCEENG25_P15_1.jpeg,120
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ER,,,,,,60,Header,VCE English Examination - Tuesday 29 October 2024,,,,,,,121
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ER,,,,,,,Instruction,Reading time: 15 minutes: 9.00am to 9.15am,,,,,,,122
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ER,,,,,,,Instruction,Writing time: 3 hours: 9.15am to 12.15pm,,,,,,,123
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ER,,,,,,,Instruction,An English and/or bilingual printed dictionary,,,,,,,124
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ER,,,,,,,Instruction,Task Book of 20 pages,,,,,,,125
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ER,,,,,,,Instruction,Answer Book,,,,,,,126
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ER,,,,,,,Instruction,Write your responses in English.,,,,,,,127
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ER,,,,,,,Instruction,Follow all instructions on your Answer Book.,,,,,,,128
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ER,,,,,,,Instruction,You may keep this Task Book.,,,,,,,129
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ER,,,,,,,SubHeader,Contents,,,,,,,130
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ER,,A,,,,20,Instruction,"Section A (1 question, 20 marks)",,,,,,,131
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ER,,B,,,,20,Instruction,"Section B (1 question,20marks)",,,,,,,132
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ER,,C,,,,20,Instruction,"Section C (1 question,20marks)",,,,,,,133
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,,A,Analytical response to a text,,,20,Header,Section A: Analytical response to a text,,,,,,,134
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,,A,Analytical response to a text,,,,Instruction,You must write an analytical response to a selected text on one of the topics (either i or ii) provided for that text.,,,,,,,135
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,,A,Analytical response to a text,,,,Instruction,"Your response should engage with the ideas, concerns and values raised by the topic and be supported by close reference to the text.",,,,,,,136
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,,A,Analytical response to a text,,,,Instruction,"If your selected text is a collection of poetry or short stories, you may write on several poems or stories, or on at least two in close detail. In the Answer Book, indicate which text you have chosen to write on and whether you have chosen to answer i or i .",,,,,,,137
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,,A,Analytical response to a text,,,,Instruction,Refer to the assessment criteria on page 18.,,,,,,,138
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,,A,Analytical response to a text,,,,Instruction,Section Ais worth one-third of the total marks for the examination.,,,,,,,139
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA1,A,Analytical response to a text,1,Text 1,,Header,Bad Dreams and Other Stories by Tessa Hadley,,Bad Dreams and Other Stories,Tessa Hadley,,,,140
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA1,A,Analytical response to a text,1i,Text 1 i,20,Paragraph,,,Bad Dreams and Other Stories,Tessa Hadley,'Greta didn't know whether she believed him: whether he was the sort of man who knew about things or the sort who made them up.',"Bad Dreams and Other Stories demonstrates the difficulties of truly knowing others.
Discuss.

OR",,141
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA1,A,Analytical response to a text,1ii,Text 1 ii,20,Paragraph,,,Bad Dreams and Other Stories,Tessa Hadley,"'In their shame, they could hardly bear to look at each other.'","Regret and shame determine experiences in Bad Dreams and Other Stories.
To what extent do you agree?",,142
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA2,A,Analytical response to a text,2,Text 2,,Header,BornaCrime by Trevor Noah,,BornaCrime,Trevor Noah,,,,143
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA2,A,Analytical response to a text,2i,Text 2 i,20,Paragraph,,,BornaCrime,Trevor Noah,"'Life is full of pain. Let the pain sharpen you, but don't hold on to it.'","Hardship shapes the lives of the characters in Born a Crime.
Discuss.

OR",,144
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA2,A,Analytical response to a text,2ii,Text 2 ii,20,Paragraph,,,BornaCrime,Trevor Noah,'Now you're officially the best-looking person in the family.',"Humour is Noah's strongest defence in Born a Crime.
Do you agree?",,145
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA3,A,Analytical response to a text,3,Text 3,,Header,Chronicle of a Death Foretold by Gabriel Garcia Marquez,,Chronicle of a Death Foretold,Gabriel Garcia Marquez,,,,146
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA3,A,Analytical response to a text,3i,Text 3 i,20,Paragraph,,,Chronicle of a Death Foretold,Gabriel Garcia Marquez,,"Tradition is inescapable. To what extent does Chronicle of a Death Foretold show this to be true?

OR",,147
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA3,A,Analytical response to a text,3ii,Text 3 ii,20,Paragraph,,,Chronicle of a Death Foretold,Gabriel Garcia Marquez,'My first thought was that it wasn't any business of mine but something for the civil authorities . .',"In Chronicle of a Death Foretold, the townspeople are as guilty as the perpetrators.
Do you agree?",,148
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA4,A,Analytical response to a text,4,Text 4,,Header,False Claims of Colonial Thieves by Charmaine Papertalk Green and John Kinsella,,False Claims of Colonial Thieves,Charmaine Papertalk Green and John Kinsella,,,,149
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA4,A,Analytical response to a text,4i,Text 4 i,20,Paragraph,,,False Claims of Colonial Thieves,Charmaine Papertalk Green and John Kinsella,'It's a shared true history - let's heal . .',"How does False Claims of Colonial Thieves challenge the reader to confront uncomfortable truths?

OR",,150
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA4,A,Analytical response to a text,4ii,Text 4 ii,20,Paragraph,,,False Claims of Colonial Thieves,Charmaine Papertalk Green and John Kinsella,,"False Claims of Colonial Thieves suggests that, despite their differences, people should seek to understand each other. Discuss.",,151
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA5,A,Analytical response to a text,5,Text 5,,Header,Flames by Robbie Arnott,,Flames,Robbie Arnott,,,,152
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA5,A,Analytical response to a text,5i,Text 5 i,20,Paragraph,,,Flames,Robbie Arnott,,"In Flames, change is inevitable. Discuss.

OR",,153
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA5,A,Analytical response to a text,5ii,Text 5 ii,20,Paragraph,,,Flames,Robbie Arnott,'And he is the only family | have left. | wasn't ready to give up on the love our mother built.',"Family bonds do not necessarily produce positive outcomes in Flames.
Discuss.",,154
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA6,A,Analytical response to a text,6,Text 6,,Header,"Go, Went, Gone by Jenny Erpenbeck",,"Go, Went, Gone",Jenny Erpenbeck,,,,155
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA6,A,Analytical response to a text,6i,Text 6 i,20,Paragraph,,,"Go, Went, Gone",Jenny Erpenbeck,'Paradise is beneath your mother's feet.',"How does Erpenbeck explore what it means to belong?

OR",,156
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA6,A,Analytical response to a text,6ii,Text 6 ii,20,Paragraph,,,"Go, Went, Gone",Jenny Erpenbeck,,Erpenbeck suggests that growth can only occur through exposure to the stories and experiences of others. Do you agree?,,157
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA7,A,Analytical response to a text,7,Text 7,,Header,High Ground by Stephen Johnson,,High Ground,Stephen Johnson,,,,158
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA7,A,Analytical response to a text,7i,Text 7 i,20,Paragraph,,,High Ground,Stephen Johnson,,"How does Johnson explore different perceptions of truth in High Ground?

OR",,159
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA7,A,Analytical response to a text,7ii,Text 7 ii,20,Paragraph,,,High Ground,Stephen Johnson,,"In High Ground, a desire for control is the most important factor in decision-making. Do you agree?",,160
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA8,A,Analytical response to a text,8,Text 8,,Header,Much Ado About Nothing by William Shakespeare,,Much Ado About Nothing,William Shakespeare,,,,161
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA8,A,Analytical response to a text,8i,Text 8 i,20,Paragraph,,,Much Ado About Nothing,William Shakespeare,'Stand | condemned for pride and scorn so much?',"As indicated by the title, while much occurs in the play, it is all for nothing.
Do you agree?

OR",,162
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA8,A,Analytical response to a text,8ii,Text 8 ii,20,Paragraph,,,Much Ado About Nothing,William Shakespeare,,To what extent is deception harmful in Much Ado About Nothing?,,163
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA9,A,Analytical response to a text,9,Text 9,,Header,My Brilliant Career by Miles Franklin,,My Brilliant Career,Miles Franklin,,,,164
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA9,A,Analytical response to a text,9i,Text 9 i,20,Paragraph,,,My Brilliant Career,Miles Franklin,,"No one in My Brilliant Career is ever truly satisfied. Do you agree?

OR",,165
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA9,A,Analytical response to a text,9ii,Text 9 ii,20,Paragraph,,,My Brilliant Career,Miles Franklin,,"'Itis worth being poor once or twice in a lifetime .. "" Discuss the interplay between wealth and poverty in My Brilliant Career.",,166
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA10,A,Analytical response to a text,10,Text 10,,Header,Oedipus the King by Sophocles,,Oedipus the King,Sophocles,,,,167
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA10,A,Analytical response to a text,10i,Text 10 i,20,Paragraph,,,Oedipus the King,Sophocles,,"""You can trust me. | am ready to help . . In the play, the desire to behave honourably causes suffering.
To what extent do you agree?

OR",,168
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA10,A,Analytical response to a text,10ii,Text 10 ii,20,Paragraph,,,Oedipus the King,Sophocles,,"In Oedipus the King, all who deserve it are justly punished. Do you agree?",,169
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA11,A,Analytical response to a text,11,Text 11,,Header,Pride and Prejudice by Jane Austen,,Pride and Prejudice,Jane Austen,,,,170
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA11,A,Analytical response to a text,11i,Text 11 i,20,Paragraph,,,Pride and Prejudice,Jane Austen,,"In Pride and Prejudice, life is easier when individuals conform to social conventions. To what extent do you agree?

OR",,171
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA11,A,Analytical response to a text,11ii,Text 11 ii,20,Paragraph,,,Pride and Prejudice,Jane Austen,,Austen suggests that pride is more of a positive attribute than it is a flaw. Do you agree?,,172
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA12,A,Analytical response to a text,12,Text 12,,Header,Rainbow's End by Jane Harrison,,Rainbow's End,Jane Harrison,,,,173
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA12,A,Analytical response to a text,12i,Text 12 i,20,Paragraph,,,Rainbow's End,Jane Harrison,'Least here we do things our way-no one breathin' down our necks.',"Home is central to identity in Rainbow's End.
To what extent do you agree?

OR",,174
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA12,A,Analytical response to a text,12ii,Text 12 ii,20,Paragraph,,,Rainbow's End,Jane Harrison,,"In Rainbow's End, attempts to be helpful are often unsuccessful. Discuss.",,175
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA13,A,Analytical response to a text,13,Text 13,,Header,Requiem for a Beast by Matt Ottley,,Requiem for a Beast,Matt Ottley,,,,176
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA13,A,Analytical response to a text,13i,Text 13 i,20,Paragraph,,,Requiem for a Beast,Matt Ottley,'Tell her your story - | mean your own story.',"Requiem for a Beast suggests that shared stories are vital for connecting people and communities.
Discuss.

OR",,177
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA13,A,Analytical response to a text,13ii,Text 13 ii,20,Paragraph,,,Requiem for a Beast,Matt Ottley,,How does Ottley explore the power of both guilt and forgiveness?,,178
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA14,A,Analytical response to a text,14,Text 14,,Header,Runaway by Alice Munro,,Runaway,Alice Munro,,,,179
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA14,A,Analytical response to a text,14i,Text 14 i,20,Paragraph,,,Runaway,Alice Munro,,"Munro reveals the lasting influence of ordinary moments. Discuss.

OR",,180
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA14,A,Analytical response to a text,14ii,Text 14 ii,20,Paragraph,,,Runaway,Alice Munro,,"In Runaway, no one finds what they are seeking. To what extent do you agree?",,181
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA15,A,Analytical response to a text,15,Text 15,,Header,Sunset Boulevard by Billy Wilder,,Sunset Boulevard,Billy Wilder,,,,182
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA15,A,Analytical response to a text,15i,Text 15 i,20,Paragraph,,,Sunset Boulevard,Billy Wilder,,"Sunset Boulevard both challenges and reinforces traditional gender expectations. Discuss.

OR",,183
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA15,A,Analytical response to a text,15ii,Text 15 ii,20,Paragraph,,,Sunset Boulevard,Billy Wilder,"'There's nothing tragic about being 50, not unless you try to be 25.'","In Sunset Boulevard, how does Wilder portray Hollywood's infatuation with youth?",,184
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA16,A,Analytical response to a text,16,Text 16,,Header,The Erratics by Vicki Laveau-Harvie,,The Erratics,Vicki Laveau-Harvie,,,,185
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA16,A,Analytical response to a text,16i,Text 16 i,20,Paragraph,,,The Erratics,Vicki Laveau-Harvie,,"Laveau-Harvie suggests that individuals must understand their past in order to move forward with their lives. Discuss.

OR",,186
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA16,A,Analytical response to a text,16ii,Text 16 ii,20,Paragraph,,,The Erratics,Vicki Laveau-Harvie,,How does The Erratics demonstrate that memory is imperfect?,,187
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA17,A,Analytical response to a text,17,Text 17,,Header,The Memory Police by Yoko Ogawa,,The Memory Police,Yoko Ogawa,,,,188
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA17,A,Analytical response to a text,17i,Text 17 i,20,Paragraph,,,The Memory Police,Yoko Ogawa,'But no one ever complains.',"In The Memory Police, Ogawa suggests that being passive poses the greatest threat to humanity's survival.
Discuss.

OR",,189
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA17,A,Analytical response to a text,17ii,Text 17 ii,20,Paragraph,,,The Memory Police,Yoko Ogawa,,The Memory Police is as much about gain as it is about loss. Discuss.,,190
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA18,A,Analytical response to a text,18,Text 18,,Header,Things Fall Apart by Chinua Achebe,,Things Fall Apart,Chinua Achebe,,,,191
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA18,A,Analytical response to a text,18i,Text 18 i,20,Paragraph,,,Things Fall Apart,Chinua Achebe,'Why should a man suffer so grievously for an offence he had committed inadvertently?',"In Things Fall Apart, the consequences of actions are rarely fair.
Do you agree?

OR",,192
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA18,A,Analytical response to a text,18ii,Text 18 ii,20,Paragraph,,,Things Fall Apart,Chinua Achebe,"'But his whole life was dominated by fear, the fear of failure and of weakness.'","Power and fear are inseparable in Things Fall Apart.
Discuss.",,193
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA19,A,Analytical response to a text,19,Text 19,,Header,We Have Always Lived in the Castle by Shirley Jackson,,We Have Always Lived in the Castle,Shirley Jackson,,,,194
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA19,A,Analytical response to a text,19i,Text 19 i,20,Paragraph,,,We Have Always Lived in the Castle,Shirley Jackson,"'... butl wanted her to be unhappy, dressed in black in our mother's drawing room.'","The world created by Jackson is one of unrelenting cruelty.
Do you agree?

OR",,195
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA19,A,Analytical response to a text,19ii,Text 19 ii,20,Paragraph,,,We Have Always Lived in the Castle,Shirley Jackson,'Poor strangers ... They have so much to be afraid of.',To what extent is the fear in We Have Always Lived in the Castle justified?,,196
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA20,A,Analytical response to a text,20,Text 20,,Header,William Wordsworth: Poems Selected by Seamus Heaney,,William Wordsworth: Poems Selected,Seamus Heaney,,,,197
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA20,A,Analytical response to a text,20i,Text 20 i,20,Paragraph,,,William Wordsworth: Poems Selected,Seamus Heaney,,"Wordsworth suggests that there is contentment to be found in solitude. To what extent do you agree?

OR",,198
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERA,VCEENG24EQA20,A,Analytical response to a text,20ii,Text 20 ii,20,Paragraph,,,William Wordsworth: Poems Selected,Seamus Heaney,,How is beauty explored in both ordinary and unexpected places in Wordsworth's poems?,,199
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,,B,Creating a text,,,20,Header,Section B: Creating a text,,,,,,,200
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,,B,Creating a text,,,,Instruction,"Inthis section, you must create one written text (not including song, poetry or verse).",,,,,,,201
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,,B,Creating a text,,,,Instruction,"Inyour text, you must include meaningful connections with ideas drawn from one of the Frameworks of Ideas the title provided for your selected Framework of Ideas at least one piece of stimulus material provided for your selected Framework of Ideas.",,,,,,,202
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,,B,Creating a text,,,,Instruction,"You must develop your text with a clear purpose, incorporating at least one of the following: to explain, to express, to reflect, to argue.",,,,,,,203
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,,B,Creating a text,,,,Instruction,"You must write an effective and cohesive text that demonstrates fluency through your selection of vocabulary, text structure(s) and language features.",,,,,,,204
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,,B,Creating a text,,,,Instruction,Refer to the assessment criteria on page 18.,,,,,,,205
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,,B,Creating a text,,,,Instruction,Section B is worth one-third of the total marks for the examination.,,,,,,,206
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,VCEENG24EQB1,B,Creating a text,1,Framework 1: Writing about country,,Framework,Framework 1: Writing about country,,,,,,,207
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,VCEENG24EQB1,B,Creating a text,1,Framework 1: Writing about country,,Instruction,Write a text that explores ideas about country.,,,,,,,208
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,VCEENG24EQB1,B,Creating a text,1,Framework 1: Writing about country,,Instruction,You must use the title provided.,,,,,,,209
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,VCEENG24EQB1,B,Creating a text,1,Framework 1: Writing about country,,Instruction,You must use at least one of the following stimuli.,,,,,,,210
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,VCEENG24EQB1,B,Creating a text,1,Framework 1: Writing about country,,Title,Connections,,,,,,,211
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,VCEENG24EQB1,B,Creating a text,1.1,Framework 1 Stimulus 1,,Stimulus,'How sweet the howling wind sounds in my own trees!',,,,,,,212
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,VCEENG24EQB1,B,Creating a text,1.2,Framework 1 Stimulus 2,,Stimulus,[Image stimulus],,,,,,VCEENG24_P9_1.jpeg,213
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,VCEENG24EQB1,B,Creating a text,1.3,Framework 1 Stimulus 3,,Stimulus,"'I am surrounded by a vastness that could easily overwhelm a lesser being.
But this is my home.
Each grain of sand, caught momentarily by the wind,
Ties me irrevocably to all who came before and all yet to come.'",,,,,,,214
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,VCEENG24EQB2,B,Creating a text,2,Framework 2: Writing about protest,,Framework,Framework 2: Writing about protest,,,,,,,215
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,VCEENG24EQB2,B,Creating a text,2,Framework 2: Writing about protest,,Instruction,Write a text that explores ideas about protest.,,,,,,,216
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,VCEENG24EQB2,B,Creating a text,2,Framework 2: Writing about protest,,Instruction,You must use the title provided.,,,,,,,217
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,VCEENG24EQB2,B,Creating a text,2,Framework 2: Writing about protest,,Instruction,You must use at least one of the following stimuli.,,,,,,,218
English,English,,,Year 12,Final Exam,Exam Questions,2024,,VCEENG24ERB,VCEENG24EQB2,B,Creating a text,2,Framework 2: Writing about protest,,Title,Resist and Persist,,,,,,,219
