SubjectArea,Subject,TaskType,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,MarkingGroup,MarkingGroupWeight,SubCriteria,SubCriteriaColumn,Grade,GradeMin,GradeMax,Code,Sequence,Description,ProgressionDescription
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Writing structure,10%,Cohesion,H,A+,A,A+,VCELF12-WRS-COH-01,1,Uses transitional phrases where appropriate to maintain coherence in the overall structure and support the central argument.,"At this level, students demonstrate an ability to delve deeply into the text, providing profound insights into the presentation of ideas. They insightfully examine and critique the manner in which ideas are presented, showcasing a sophisticated understanding of the text's nuances and complexities. Their contention and arguments are nuanced and insightful, addressing the demands of the topic with depth and sophistication. They develop their arguments with precision and clarity, providing thorough analysis and interpretation. They analyse how relevant text structures, language features, and vocabulary choices contribute to the text's overall meaning and message, demonstrating an advanced understanding of literary techniques and their impact on interpretation. They also analyze how setting contributes to the expression of values, ideas, and concerns, showcasing a deep appreciation for the interplay between narrative elements and thematic development. Their ideas and arguments are strategically organised to enhance the logical flow and strengthen the overall response to the topic, creating a compelling and coherent argumentative structure. They demonstrate mastery in the use of varied and complex sentence structures, employing them effectively to emphasise key points and create a rhythmic flow that enhances readability and engagement. Their spelling is encompasses high-complexity words with accuracy and consistency. They expertly use a full range of punctuation marks to enhance readability and support syntax, showcasing a command of punctuation conventions that elevates the sophistication and clarity of their writing."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Writing structure,10%,Cohesion,H,B/B+,C/C+,B/B+,VCELF12-WRS-COH-02,2,Attempts to use transitional words and phrases to create smooth transitions between paragraphs and ideas.,"At this level, students demonstrate a solid understanding of textual analysis and writing skills, showing progress in their ability to engage with the text critically. They attempt to explain how values, ideas, and concerns (VICs) are presented in the text. Their contention addresses the demands of the topic. They provide detailed textual evidence that supports each paragraph's argument. They explain how relevant text features shape the audience's understanding and response to the text, indicating a growing understanding of literary techniques and their impact on interpretation. Their body paragraphs are structured to clearly convey each argument. They maintain a formal analytical tone throughout their writing. Their spelling is accurate across a broad vocabulary, including more challenging words, with minimal errors. They correctly and effectively use a wide range of punctuation marks, including more advanced ones like square brackets and ellipses where appropriate."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Writing structure,10%,Cohesion,H,D/D+,D/D+,D/D+,VCELF12-WRS-COH-03,3,"Uses basic transitional words and phrases (e.g. ""Firstly,..."", ""In conclusion…"", ""For example,"")","At this level, students demonstrate a basic understanding of textual analysis and writing skills. They are able to refer to key moments from the text and use evidence by directly quoting the text or referencing relevant moments. They can identify basic text features such as form and basic literary techniques. They organise paragraphs into a clear introduction, body paragraphs, and conclusion. They use basic transitional words and phrases to connect ideas. They attempt to maintain an appropriate tone in their writing, although this may still be inconsistent. Their syntax is characterised by basic sentences with limited variety, reflecting a developing command of sentence structure. Their word choice is limited, prioritising correct spelling, and they generally apply basic punctuation effectively, including capital letters and full stops."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Writing structure,10%,Cohesion,H,E/E+,E/E+,E/E+,VCELF12-WRS-COH-04,4,Insufficient evidence,"At this level, students demonstrate limited proficiency in various aspects of textual analysis and writing. There is insufficient evidence of their understanding of the values, ideas, and concerns (VICs) of the text, as well as inadequate responses to the topic. Their use of evidence is characterised by gross inaccuracies in references or quotes. They can state the text type and outline main events and characters at a basic level without demonstrating deeper analysis. While they use paragraphs to organise their writing, cohesion is lacking. Grammatical errors significantly impact the clarity of their ideas, and they struggle with spelling, particularly with sight and high-frequency words."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Tone,I,A+,A,A+,VCELF12-LGC-TON-01,1,Maintains a sophisticated academic analytical tone throughout,"At this level, students demonstrate an ability to delve deeply into the text, providing profound insights into the presentation of ideas. They insightfully examine and critique the manner in which ideas are presented, showcasing a sophisticated understanding of the text's nuances and complexities. Their contention and arguments are nuanced and insightful, addressing the demands of the topic with depth and sophistication. They develop their arguments with precision and clarity, providing thorough analysis and interpretation. They analyse how relevant text structures, language features, and vocabulary choices contribute to the text's overall meaning and message, demonstrating an advanced understanding of literary techniques and their impact on interpretation. They also analyze how setting contributes to the expression of values, ideas, and concerns, showcasing a deep appreciation for the interplay between narrative elements and thematic development. Their ideas and arguments are strategically organised to enhance the logical flow and strengthen the overall response to the topic, creating a compelling and coherent argumentative structure. They demonstrate mastery in the use of varied and complex sentence structures, employing them effectively to emphasise key points and create a rhythmic flow that enhances readability and engagement. Their spelling is encompasses high-complexity words with accuracy and consistency. They expertly use a full range of punctuation marks to enhance readability and support syntax, showcasing a command of punctuation conventions that elevates the sophistication and clarity of their writing."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Tone,I,B/B+,B/B+,B/B+,VCELF12-LGC-TON-02,2,Maintains formal analytical tone.,"At this level, students demonstrate a solid understanding of textual analysis and writing skills, showing progress in their ability to engage with the text critically. They attempt to explain how values, ideas, and concerns (VICs) are presented in the text. Their contention addresses the demands of the topic. They provide detailed textual evidence that supports each paragraph's argument. They explain how relevant text features shape the audience's understanding and response to the text, indicating a growing understanding of literary techniques and their impact on interpretation. Their body paragraphs are structured to clearly convey each argument. They maintain a formal analytical tone throughout their writing. Their spelling is accurate across a broad vocabulary, including more challenging words, with minimal errors. They correctly and effectively use a wide range of punctuation marks, including more advanced ones like square brackets and ellipses where appropriate."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Tone,I,C/C+,D/D+,C/C+,VCELF12-LGC-TON-03,3,Attempts an appropriate tone.,"At this level, students demonstrate a developing understanding of textual analysis and writing skills. They list values, ideas, and concerns (VICs) present in the text. They state a contention that attempts to address the demands of the topic, including command words and VICs, though it may lack depth. They select textual evidence that is relevant to the topic. They provide examples of text features such as vocabulary choices, conventions of form, and literary techniques. They explain how characterisation contributes to the expression of VICs. Their introduction expresses a clear contention in response to the topic, and body paragraphs contain one argument each. While they attempt to use transitional words and phrases to create smooth transitions between paragraphs and ideas, their use of these may lack consistency or sophistication. Their syntax demonstrates a mix of simple and complex sentence structures, with occasional grammatical errors that do not significantly impact clarity. They spell most common and high-frequency words correctly and attempt higher vocabulary with identifiable target words, although errors may still occur. They apply punctuation, such as commas and quotation marks, effectively, enhancing readability and clarity in their writing."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Tone,I,E/E+,E/E+,E/E+,VCELF12-LGC-TON-04,4,Insufficient evidence,"At this level, students demonstrate limited proficiency in various aspects of textual analysis and writing. There is insufficient evidence of their understanding of the values, ideas, and concerns (VICs) of the text, as well as inadequate responses to the topic. Their use of evidence is characterised by gross inaccuracies in references or quotes. They can state the text type and outline main events and characters at a basic level without demonstrating deeper analysis. While they use paragraphs to organise their writing, cohesion is lacking. Grammatical errors significantly impact the clarity of their ideas, and they struggle with spelling, particularly with sight and high-frequency words."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Syntax,J,A+,A+,A+,VCELF12-LGC-SYN-01,1,Demonstrates mastery in the use of varied and complex sentence structures to enhance emphasis and create rhythmic flow.,"At this level, students demonstrate an ability to delve deeply into the text, providing profound insights into the presentation of ideas. They insightfully examine and critique the manner in which ideas are presented, showcasing a sophisticated understanding of the text's nuances and complexities. Their contention and arguments are nuanced and insightful, addressing the demands of the topic with depth and sophistication. They develop their arguments with precision and clarity, providing thorough analysis and interpretation. They analyse how relevant text structures, language features, and vocabulary choices contribute to the text's overall meaning and message, demonstrating an advanced understanding of literary techniques and their impact on interpretation. They also analyze how setting contributes to the expression of values, ideas, and concerns, showcasing a deep appreciation for the interplay between narrative elements and thematic development. Their ideas and arguments are strategically organised to enhance the logical flow and strengthen the overall response to the topic, creating a compelling and coherent argumentative structure. They demonstrate mastery in the use of varied and complex sentence structures, employing them effectively to emphasise key points and create a rhythmic flow that enhances readability and engagement. Their spelling is encompasses high-complexity words with accuracy and consistency. They expertly use a full range of punctuation marks to enhance readability and support syntax, showcasing a command of punctuation conventions that elevates the sophistication and clarity of their writing."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Syntax,J,A,A,A,VCELF12-LGC-SYN-02,2,"Employs a variety of sentence structures effectively, including complex forms, to sequence and emphasise ideas, showing a strong understanding of grammar.","At this level, students demonstrate an exceptional ability to engage deeply with the text, uncovering interconnected ideas and values with insightful analysis. They provide thorough explanations of how these ideas and values are intertwined within the text. Their contention and focused arguments are developed with precision and clarity, effectively addressing the demands of the topic and guiding the reader through a coherent and compelling argumentative structure. They analyse highly relevant and nuanced textual evidence to support their response to the topic. They explain how plot structure and/or characterisation contribute to the expression of values, ideas, and concerns. Their writing maintains coherence and cohesion through the effective use of transitional phrases, which seamlessly guide the reader through the overall structure and reinforce the central argument. They consistently maintain a sophisticated academic analytical tone throughout their writing. They employ a variety of sentence structures with skill and precision, including complex forms, to sequence and emphasise ideas."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Syntax,J,B/B+,C/C+,B/B+,VCELF12-LGC-SYN-03,3,"Uses a mix of simple and complex sentence structures appropriately, may include occasional grammatical errors that do not significantly impact clarity.","At this level, students demonstrate a solid understanding of textual analysis and writing skills, showing progress in their ability to engage with the text critically. They attempt to explain how values, ideas, and concerns (VICs) are presented in the text. Their contention addresses the demands of the topic. They provide detailed textual evidence that supports each paragraph's argument. They explain how relevant text features shape the audience's understanding and response to the text, indicating a growing understanding of literary techniques and their impact on interpretation. Their body paragraphs are structured to clearly convey each argument. They maintain a formal analytical tone throughout their writing. Their spelling is accurate across a broad vocabulary, including more challenging words, with minimal errors. They correctly and effectively use a wide range of punctuation marks, including more advanced ones like square brackets and ellipses where appropriate."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Syntax,J,D/D+,D/D+,D/D+,VCELF12-LGC-SYN-04,4,Constructs basic sentences with limited variety.,"At this level, students demonstrate a basic understanding of textual analysis and writing skills. They are able to refer to key moments from the text and use evidence by directly quoting the text or referencing relevant moments. They can identify basic text features such as form and basic literary techniques. They organise paragraphs into a clear introduction, body paragraphs, and conclusion. They use basic transitional words and phrases to connect ideas. They attempt to maintain an appropriate tone in their writing, although this may still be inconsistent. Their syntax is characterised by basic sentences with limited variety, reflecting a developing command of sentence structure. Their word choice is limited, prioritising correct spelling, and they generally apply basic punctuation effectively, including capital letters and full stops."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Syntax,J,E/E+,E/E+,E/E+,VCELF12-LGC-SYN-05,5,Grammatical errors affect the clarity of ideas.,"At this level, students demonstrate limited proficiency in various aspects of textual analysis and writing. There is insufficient evidence of their understanding of the values, ideas, and concerns (VICs) of the text, as well as inadequate responses to the topic. Their use of evidence is characterised by gross inaccuracies in references or quotes. They can state the text type and outline main events and characters at a basic level without demonstrating deeper analysis. While they use paragraphs to organise their writing, cohesion is lacking. Grammatical errors significantly impact the clarity of their ideas, and they struggle with spelling, particularly with sight and high-frequency words."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Spelling,K,A+,A+,A+,VCELF12-LGC-SPL-01,1,"Spells words accurately and consistently, including high-complexity words.","At this level, students demonstrate an ability to delve deeply into the text, providing profound insights into the presentation of ideas. They insightfully examine and critique the manner in which ideas are presented, showcasing a sophisticated understanding of the text's nuances and complexities. Their contention and arguments are nuanced and insightful, addressing the demands of the topic with depth and sophistication. They develop their arguments with precision and clarity, providing thorough analysis and interpretation. They analyse how relevant text structures, language features, and vocabulary choices contribute to the text's overall meaning and message, demonstrating an advanced understanding of literary techniques and their impact on interpretation. They also analyze how setting contributes to the expression of values, ideas, and concerns, showcasing a deep appreciation for the interplay between narrative elements and thematic development. Their ideas and arguments are strategically organised to enhance the logical flow and strengthen the overall response to the topic, creating a compelling and coherent argumentative structure. They demonstrate mastery in the use of varied and complex sentence structures, employing them effectively to emphasise key points and create a rhythmic flow that enhances readability and engagement. Their spelling is encompasses high-complexity words with accuracy and consistency. They expertly use a full range of punctuation marks to enhance readability and support syntax, showcasing a command of punctuation conventions that elevates the sophistication and clarity of their writing."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Spelling,K,A,B/B+,A,VCELF12-LGC-SPL-02,2,"Demonstrates accurate spelling across a broad vocabulary, including more challenging words, with minimal errors.","At this level, students demonstrate an exceptional ability to engage deeply with the text, uncovering interconnected ideas and values with insightful analysis. They provide thorough explanations of how these ideas and values are intertwined within the text. Their contention and focused arguments are developed with precision and clarity, effectively addressing the demands of the topic and guiding the reader through a coherent and compelling argumentative structure. They analyse highly relevant and nuanced textual evidence to support their response to the topic. They explain how plot structure and/or characterisation contribute to the expression of values, ideas, and concerns. Their writing maintains coherence and cohesion through the effective use of transitional phrases, which seamlessly guide the reader through the overall structure and reinforce the central argument. They consistently maintain a sophisticated academic analytical tone throughout their writing. They employ a variety of sentence structures with skill and precision, including complex forms, to sequence and emphasise ideas."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Spelling,K,C/C+,C/C+,C/C+,VCELF12-LGC-SPL-03,3,Spells most common and high-frequency words correctly. Attempts higher vocabulary with identifiable target words.,"At this level, students demonstrate a developing understanding of textual analysis and writing skills. They list values, ideas, and concerns (VICs) present in the text. They state a contention that attempts to address the demands of the topic, including command words and VICs, though it may lack depth. They select textual evidence that is relevant to the topic. They provide examples of text features such as vocabulary choices, conventions of form, and literary techniques. They explain how characterisation contributes to the expression of VICs. Their introduction expresses a clear contention in response to the topic, and body paragraphs contain one argument each. While they attempt to use transitional words and phrases to create smooth transitions between paragraphs and ideas, their use of these may lack consistency or sophistication. Their syntax demonstrates a mix of simple and complex sentence structures, with occasional grammatical errors that do not significantly impact clarity. They spell most common and high-frequency words correctly and attempt higher vocabulary with identifiable target words, although errors may still occur. They apply punctuation, such as commas and quotation marks, effectively, enhancing readability and clarity in their writing."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Spelling,K,D/D+,D/D+,D/D+,VCELF12-LGC-SPL-04,4,Word choice is limited to ensure correct spelling.,"At this level, students demonstrate a basic understanding of textual analysis and writing skills. They are able to refer to key moments from the text and use evidence by directly quoting the text or referencing relevant moments. They can identify basic text features such as form and basic literary techniques. They organise paragraphs into a clear introduction, body paragraphs, and conclusion. They use basic transitional words and phrases to connect ideas. They attempt to maintain an appropriate tone in their writing, although this may still be inconsistent. Their syntax is characterised by basic sentences with limited variety, reflecting a developing command of sentence structure. Their word choice is limited, prioritising correct spelling, and they generally apply basic punctuation effectively, including capital letters and full stops."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Spelling,K,E/E+,E/E+,E/E+,VCELF12-LGC-SPL-05,5,"Struggles with spelling, including sight and high-frequency words. Spelling errors impact clarity.","At this level, students demonstrate limited proficiency in various aspects of textual analysis and writing. There is insufficient evidence of their understanding of the values, ideas, and concerns (VICs) of the text, as well as inadequate responses to the topic. Their use of evidence is characterised by gross inaccuracies in references or quotes. They can state the text type and outline main events and characters at a basic level without demonstrating deeper analysis. While they use paragraphs to organise their writing, cohesion is lacking. Grammatical errors significantly impact the clarity of their ideas, and they struggle with spelling, particularly with sight and high-frequency words."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Punctuation,L,A+,A+,A+,VCELF12-LGC-PUN-01,1,Expertly uses a full range of punctuation marks to enhance readability and support syntax.,"At this level, students demonstrate an ability to delve deeply into the text, providing profound insights into the presentation of ideas. They insightfully examine and critique the manner in which ideas are presented, showcasing a sophisticated understanding of the text's nuances and complexities. Their contention and arguments are nuanced and insightful, addressing the demands of the topic with depth and sophistication. They develop their arguments with precision and clarity, providing thorough analysis and interpretation. They analyse how relevant text structures, language features, and vocabulary choices contribute to the text's overall meaning and message, demonstrating an advanced understanding of literary techniques and their impact on interpretation. They also analyze how setting contributes to the expression of values, ideas, and concerns, showcasing a deep appreciation for the interplay between narrative elements and thematic development. Their ideas and arguments are strategically organised to enhance the logical flow and strengthen the overall response to the topic, creating a compelling and coherent argumentative structure. They demonstrate mastery in the use of varied and complex sentence structures, employing them effectively to emphasise key points and create a rhythmic flow that enhances readability and engagement. Their spelling is encompasses high-complexity words with accuracy and consistency. They expertly use a full range of punctuation marks to enhance readability and support syntax, showcasing a command of punctuation conventions that elevates the sophistication and clarity of their writing."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Punctuation,L,A,B/B+,A,VCELF12-LGC-PUN-02,2,"Correctly and effectively uses a wide range of punctuation, including more advanced marks like square brackets and ellipses where appropriate.","At this level, students demonstrate an exceptional ability to engage deeply with the text, uncovering interconnected ideas and values with insightful analysis. They provide thorough explanations of how these ideas and values are intertwined within the text. Their contention and focused arguments are developed with precision and clarity, effectively addressing the demands of the topic and guiding the reader through a coherent and compelling argumentative structure. They analyse highly relevant and nuanced textual evidence to support their response to the topic. They explain how plot structure and/or characterisation contribute to the expression of values, ideas, and concerns. Their writing maintains coherence and cohesion through the effective use of transitional phrases, which seamlessly guide the reader through the overall structure and reinforce the central argument. They consistently maintain a sophisticated academic analytical tone throughout their writing. They employ a variety of sentence structures with skill and precision, including complex forms, to sequence and emphasise ideas."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Punctuation,L,C/C+,C/C+,C/C+,VCELF12-LGC-PUN-03,3,"Applies punctuation, such as commas and quotation marks effectively.","At this level, students demonstrate a developing understanding of textual analysis and writing skills. They list values, ideas, and concerns (VICs) present in the text. They state a contention that attempts to address the demands of the topic, including command words and VICs, though it may lack depth. They select textual evidence that is relevant to the topic. They provide examples of text features such as vocabulary choices, conventions of form, and literary techniques. They explain how characterisation contributes to the expression of VICs. Their introduction expresses a clear contention in response to the topic, and body paragraphs contain one argument each. While they attempt to use transitional words and phrases to create smooth transitions between paragraphs and ideas, their use of these may lack consistency or sophistication. Their syntax demonstrates a mix of simple and complex sentence structures, with occasional grammatical errors that do not significantly impact clarity. They spell most common and high-frequency words correctly and attempt higher vocabulary with identifiable target words, although errors may still occur. They apply punctuation, such as commas and quotation marks, effectively, enhancing readability and clarity in their writing."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Punctuation,L,D/D+,D/D+,D/D+,VCELF12-LGC-PUN-04,4,"Generally applies in basic punctuation, including capital letters, full stops effectively.","At this level, students demonstrate a basic understanding of textual analysis and writing skills. They are able to refer to key moments from the text and use evidence by directly quoting the text or referencing relevant moments. They can identify basic text features such as form and basic literary techniques. They organise paragraphs into a clear introduction, body paragraphs, and conclusion. They use basic transitional words and phrases to connect ideas. They attempt to maintain an appropriate tone in their writing, although this may still be inconsistent. Their syntax is characterised by basic sentences with limited variety, reflecting a developing command of sentence structure. Their word choice is limited, prioritising correct spelling, and they generally apply basic punctuation effectively, including capital letters and full stops."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Punctuation,L,E/E+,E/E+,E/E+,VCELF12-LGC-PUN-05,5,Insufficient evidence,"At this level, students demonstrate limited proficiency in various aspects of textual analysis and writing. There is insufficient evidence of their understanding of the values, ideas, and concerns (VICs) of the text, as well as inadequate responses to the topic. Their use of evidence is characterised by gross inaccuracies in references or quotes. They can state the text type and outline main events and characters at a basic level without demonstrating deeper analysis. While they use paragraphs to organise their writing, cohesion is lacking. Grammatical errors significantly impact the clarity of their ideas, and they struggle with spelling, particularly with sight and high-frequency words."
