ModCode,Domain,SubDomain,TaskType,ModificationType,AtLevel,PriorityFocus,Description,Explanation,Sequence
AM-NUM-G02,numbers,manipulating_numbers,general,support_physical,,,"Number chart, number line, place value chart / columns","Manipulating numbers is a complex task, involving NUMBER SENSE (what numbers mean, their relationships to each other, and their magnitudes). MENTAL ARITHMETIC & COMPUTATIONAL FLUENCY ( the ability to perform calculations ""in your head"" quickly and accurately). MATHEMATICAL OPERATIONS AND TECHNIQUES (dealing with parts of numbers, algebraic thinking, order of operations) DATA ANALYSIS AND LOGICAL REASONING (including patterns and statistics) MEASUREMENT AND SPATICAL SKILLS (geometry, unit conversion) PRACTICAL APPLICATION ( financial literacy and use of number tools such as calculators and spreadsheets)",90
AM-NUM-G03,numbers,manipulating_numbers,general,support_academic,,,Extra time,"For students who struggles with manipulating numbers, challenge may lie in one or more of these skill development areas AND/OR in their mental or physical organisation skills, AND/ OR in juggling the mental load required to combine task requirements.",91
AM-NUM-G04,numbers,manipulating_numbers,general,support_physical,,,Grid books or grid charts to support formatting,"For students who struggles with manipulating numbers, challenge may lie in one or more of these skill development areas AND/OR in their mental or physical organisation skills, AND/ OR in juggling the mental load required to combine task requirements.",92
AM-NUM-G05,numbers,manipulating_numbers,general,support_academic,,,Step-by-step explicit teaching,It is extremely common for students to be succeeding at different levels for different aspects of dealing with numbers.,93
AM-NUM-G06,numbers,manipulating_numbers,general,support_physical,,,"Annotated, worked examples",It is extremely common for students to be succeeding at different levels for different aspects of dealing with numbers.,94
AM-NUM-G07,numbers,manipulating_numbers,general,support_academic,,,Visual examples of others working with and explaining numbers (what 'makes sense' to one student may not to the next - find what works),"Some students need to learn by rote until the pattern of how to work a specific type of problem is 'cemented' in their brain, others need to understand the logic and conceptual basis of a skill. Neither is wrong and it is not helpful to force either type of learner to endure (or be confused by) sitting though a lesson that does not serve them. This may impact class or within class organisation.",95
AM-NUM-G08,numbers,manipulating_numbers,general,support_physical,,,Hands-on manipulatives,"Some students need to learn by rote until the pattern of how to work a specific type of problem is 'cemented' in their brain, others need to understand the logic and conceptual basis of a skill. Neither is wrong and it is not helpful to force either type of learner to endure (or be confused by) sitting though a lesson that does not serve them. This may impact class or within class organisation.",96
AM-NUM-G09,numbers,manipulating_numbers,general,support_academic,,,Gradual and logical / sequential build up of skills,"As a subject that is very logical, with clear 'right and wrong' answers, perfectionism and global 'all or nothing' thinking (either I'm good at Maths or I'm terrible) are common. Segmenting topics (teaching, tasks and marking) can serve to avoid or undermine this negative generalising.",97
AM-NUM-G10,numbers,manipulating_numbers,general,support_physical,,,"Measurement tools with appropriate hand grips and readable markings (ensure physical challenges such as hand strength, coordination and vision are not impeding progress.","As a subject that is very logical, with clear 'right and wrong' answers, perfectionism and global 'all or nothing' thinking (either I'm good at Maths or I'm terrible) are common. Segmenting topics (teaching, tasks and marking) can serve to avoid or undermine this negative generalising.",98
AM-NUM-G11,numbers,manipulating_numbers,general,support_academic,,,Separation of number skill or concept from reading / writing,"As a subject that is very logical, with clear 'right and wrong' answers, perfectionism and global 'all or nothing' thinking (either I'm good at Maths or I'm terrible) are common. Segmenting topics (teaching, tasks and marking) can serve to avoid or undermine this negative generalising.",99
AM-NUM-G12,numbers,manipulating_numbers,general,support_academic,,,Engagement through games,"As a subject that is very logical, with clear 'right and wrong' answers, perfectionism and global 'all or nothing' thinking (either I'm good at Maths or I'm terrible) are common. Segmenting topics (teaching, tasks and marking) can serve to avoid or undermine this negative generalising.",100
AM-NUM-G13,numbers,manipulating_numbers,general,support_academic,,,Regular and frequent revision,"As a subject that is very logical, with clear 'right and wrong' answers, perfectionism and global 'all or nothing' thinking (either I'm good at Maths or I'm terrible) are common. Segmenting topics (teaching, tasks and marking) can serve to avoid or undermine this negative generalising.",101
AM-NUM-G14,numbers,manipulating_numbers,general,support_academic,,,Connection to real world examples (relevance),"As a subject that is very logical, with clear 'right and wrong' answers, perfectionism and global 'all or nothing' thinking (either I'm good at Maths or I'm terrible) are common. Segmenting topics (teaching, tasks and marking) can serve to avoid or undermine this negative generalising.",102
AM-EXEC-T01,executive_function,time_management,general,support_academic,,,Tasks annotated with 'time allocated',"Time Management can involve the absence of awareness of time, judgement about how long things typically take, or the ability to adapt tasks, plans or effort to the time available.",103
AM-EXEC-T02,executive_function,time_management,general,support_physical,,,"Clocks, stopwatches, visual timers,","Time Management can involve the absence of awareness of time, judgement about how long things typically take, or the ability to adapt tasks, plans or effort to the time available.",104
AM-EXEC-T03,executive_function,time_management,general,support_academic,,,Practise of timed tasks,"It can impact segmenting of large tasks into mangeable chunks, completed over multiple days, and the awareness or motivation to complete tasks in stages so that the whole is ready to hand in 'on time'.",105
AM-EXEC-T04,executive_function,time_management,general,support_physical,,,Set alarms and reminders,"It can impact segmenting of large tasks into mangeable chunks, completed over multiple days, and the awareness or motivation to complete tasks in stages so that the whole is ready to hand in 'on time'.",106
AM-EXEC-T05,executive_function,time_management,general,support_academic,,,Allowances for 'extra time',"Where 'timing' is not a key consideration, a relaxed and supportive attitude towards time is optimal. (People rarely work better under extreme pressure or unrealistic time constraints)",107
AM-EXEC-T06,executive_function,time_management,general,support_physical,,,Access to learning spaces outside class hours to support 'extra time',"Where 'timing' is not a key consideration, a relaxed and supportive attitude towards time is optimal. (People rarely work better under extreme pressure or unrealistic time constraints)",108
AM-EXEC-T07,executive_function,time_management,general,support_academic,,,Regular check-in's and reminders,"Time Management can also impact scheduled breaks: toilet and eating times, returning on time, not spending too long at lockers etc. It can define a student's sense of urgency (or lack thereof) in all tasks.",109
AM-EXEC-T08,executive_function,time_management,general,support_academic,,,Reminders sent to students (and parents where appropriate) via Learning Management System (LMS),"Time Management can also impact scheduled breaks: toilet and eating times, returning on time, not spending too long at lockers etc. It can define a student's sense of urgency (or lack thereof) in all tasks.",110
AM-EXEC-O09,executive_function,organisation,general,support_academic,,,Tasks broken into logical 'chunks',"Academic organisation can involve having the appropriate materials and resources ready for school / class, knowing when and where classes are and tasks are due, having uniform elements on the right day (eg. Sports), navigating toilet breaks and eating at appropriate times, locating friends at break times",111
AM-EXEC-O10,executive_function,organisation,general,support_physical,,,"Check lists - task based, subject based, needs based  etc.","Academic organisation can involve having the appropriate materials and resources ready for school / class, knowing when and where classes are and tasks are due, having uniform elements on the right day (eg. Sports), navigating toilet breaks and eating at appropriate times, locating friends at break times",112
AM-EXEC-O11,executive_function,organisation,general,support_academic,,,Class / meeting time allocated to filling in diaries,"Some students need reminders around teacher's names, peers in the class, previous lesson content to feel calm entering a learning space.",113
AM-EXEC-O12,executive_function,organisation,general,support_physical,,,Diaries,"Some students need reminders around teacher's names, peers in the class, previous lesson content to feel calm entering a learning space.",114
AM-EXEC-O13,executive_function,organisation,general,support_academic,,,Use of Learning Management Systems (LMS) to post work and/or class notes,"Some students need reminders around teacher's names, peers in the class, previous lesson content to feel calm entering a learning space.",115
AM-EXEC-O14,executive_function,organisation,general,support_physical,,,Calendars,"Some students need reminders around teacher's names, peers in the class, previous lesson content to feel calm entering a learning space.",116
AM-EXEC-O15,executive_function,organisation,general,support_academic,,,Support to create / maintain filing systems in folders or on devices,"Some students need reminders around teacher's names, peers in the class, previous lesson content to feel calm entering a learning space.",117
AM-EXEC-O16,executive_function,organisation,general,support_physical,,,Visual reminders,"Some students need reminders around teacher's names, peers in the class, previous lesson content to feel calm entering a learning space.",118
AM-EXEC-O17,executive_function,organisation,general,support_academic,,,"Explicit instruction of materials needed for subject, class or task","Some students need reminders around teacher's names, peers in the class, previous lesson content to feel calm entering a learning space.",119
AM-EXEC-O18,executive_function,organisation,general,support_physical,,,Verbal reminders / cues,"Some students need reminders around teacher's names, peers in the class, previous lesson content to feel calm entering a learning space.",120
AM-EXEC-O19,executive_function,organisation,general,support_academic,,,"Pre-warning of changes to routine such as sub teacher, room change, excursion etc","Some students need reminders around teacher's names, peers in the class, previous lesson content to feel calm entering a learning space.",121
AM-EXEC-C20,executive_function,cognitive_load,general,support_academic,,,Reduce sensory distress,Cognitive load (mental load) is about the amount of information someone can store in their brain and then use effectively at one time.,122
AM-EXEC-C21,executive_function,cognitive_load,general,support_physical,,,"Regulation and focus tools such as fidgets, wobble cushions, noise cancelling headphones, uniform exemptions, minimising light glare and unpredictable or excessive noise",Cognitive load (mental load) is about the amount of information someone can store in their brain and then use effectively at one time.,123
AM-EXEC-C22,executive_function,cognitive_load,general,support_academic,,,Reduce social stress,It is helpful to think of cognitive load as a container that fills up (with information you can hold and use in your brain) and then overflows when it becomes too full (making you lose control of what stays in and what falls over the edge),124
AM-EXEC-C23,executive_function,cognitive_load,general,support_physical,,,"Tools that support memory such as lists, diaries, academic notes, visuals",It is helpful to think of cognitive load as a container that fills up (with information you can hold and use in your brain) and then overflows when it becomes too full (making you lose control of what stays in and what falls over the edge),125
AM-EXEC-C24,executive_function,cognitive_load,general,support_academic,,,"Use of Learning Management Systems (LMS) to post work, class notes, changes to plans, reminders etc - anything that may need to be 'remembered'","It is not only academic material that fills students brains. They also hold in sensory information, social information, trauma and anxiety, expectations and responsibilities from home - a huge range of 'other' important information.",126
AM-EXEC-C25,executive_function,cognitive_load,general,support_physical,,,Access to devices for LMS use,"It is not only academic material that fills students brains. They also hold in sensory information, social information, trauma and anxiety, expectations and responsibilities from home - a huge range of 'other' important information.",127
AM-EXEC-C26,executive_function,cognitive_load,general,support_academic,,,Address new concerns / issues in a timely manner,"The more a student's basic needs are met and worries or concerns are addressed, the more capacity a student has for engaging with academic and school-based information.",128
AM-EXEC-A27,executive_function,academic_confidence,general,support_academic,,,Positive feedback that is specific and work-focused,"Academic confidence is faith in our capacity to succeed. It has strong links to school-based trauma, diagnosis of learning disorders or disability that impacts learning styles, focus and behaviour.",129
AM-EXEC-A28,executive_function,academic_confidence,general,support_physical,,,Checklists - proof of progress,"Academic confidence is faith in our capacity to succeed. It has strong links to school-based trauma, diagnosis of learning disorders or disability that impacts learning styles, focus and behaviour.",130
AM-EXEC-A29,executive_function,academic_confidence,general,support_academic,,,Gradual and logical / sequential build up of skills,"Perfectionism commonly links to low academic confidence in subjects or areas where a student is not easily able to succeed. It is characterised by 'all or nothing' thinking (either I'm good at it or I'm terrible) Segmenting (teaching, tasks and marking) can serve to avoid or undermine this negative generalising .",131
AM-EXEC-A30,executive_function,academic_confidence,general,support_physical,,,"Historical work samples - given the chance, students can see their own progress","Perfectionism commonly links to low academic confidence in subjects or areas where a student is not easily able to succeed. It is characterised by 'all or nothing' thinking (either I'm good at it or I'm terrible) Segmenting (teaching, tasks and marking) can serve to avoid or undermine this negative generalising .",132
AM-EXEC-A31,executive_function,academic_confidence,general,support_academic,,,Acknowledgement that learning is dynamic  (not always consistently improving but generally making progress),"Perfectionism commonly links to low academic confidence in subjects or areas where a student is not easily able to succeed. It is characterised by 'all or nothing' thinking (either I'm good at it or I'm terrible) Segmenting (teaching, tasks and marking) can serve to avoid or undermine this negative generalising .",133
AM-EXEC-A32,executive_function,academic_confidence,general,support_physical,,,Connecting 'marks' to skills or sections of work to undermine 'all or nothing' thinking,"Perfectionism commonly links to low academic confidence in subjects or areas where a student is not easily able to succeed. It is characterised by 'all or nothing' thinking (either I'm good at it or I'm terrible) Segmenting (teaching, tasks and marking) can serve to avoid or undermine this negative generalising .",134
AM-EXEC-A33,executive_function,academic_confidence,general,support_academic,,,"Use of explicit teaching and assessment methods eg rubrics, learning intentions","Perfectionism commonly links to low academic confidence in subjects or areas where a student is not easily able to succeed. It is characterised by 'all or nothing' thinking (either I'm good at it or I'm terrible) Segmenting (teaching, tasks and marking) can serve to avoid or undermine this negative generalising .",135
AM-EXEC-A34,executive_function,academic_confidence,general,support_physical,,,"Annotated, worked examples","Perfectionism commonly links to low academic confidence in subjects or areas where a student is not easily able to succeed. It is characterised by 'all or nothing' thinking (either I'm good at it or I'm terrible) Segmenting (teaching, tasks and marking) can serve to avoid or undermine this negative generalising .",136
AM-EXEC-A35,executive_function,academic_confidence,general,support_academic,,,Differentiated learning tasks to ensure students are working within their capability and regularly experiencing success,"Perfectionism commonly links to low academic confidence in subjects or areas where a student is not easily able to succeed. It is characterised by 'all or nothing' thinking (either I'm good at it or I'm terrible) Segmenting (teaching, tasks and marking) can serve to avoid or undermine this negative generalising .",137
AM-EXEC-A36,executive_function,academic_confidence,general,support_academic,,,Focus on effort and growth rather than results,"Perfectionism commonly links to low academic confidence in subjects or areas where a student is not easily able to succeed. It is characterised by 'all or nothing' thinking (either I'm good at it or I'm terrible) Segmenting (teaching, tasks and marking) can serve to avoid or undermine this negative generalising .",138
